#YYYYmmdd HHMMSS.ss;Duration;Magnitude;Longitude;Latitude;Depth;Type;File;Valid;Projection;Operator
20090211 114735.285;5;;;;;Sommital;0;0;WGS84;THS
20090211 115003.199;8;;;;;Sommital;0;0;WGS84;THS
20090211 124029.399;4;;;;;Sommital;0;0;WGS84;THS
20090211 131837.714;11;;;;;Indetermine;0;0;WGS84;THS
20090211 144808.142;9;;;;;Effondrement;0;0;WGS84;THS
20090211 150647.371;5;;;;;Sommital;0;0;WGS84;THS
20090211 155854.501;95;;;;;Effondrement;0;0;WGS84;THS
20090211 162527.342;5;;;;;Sommital;0;0;WGS84;THS
20090211 163626.485;7;;;;;Sommital;0;0;WGS84;THS
20090211 163850.75;51;;;;;Effondrement;0;0;WGS84;THS
20090211 164159.800;7;;;;;Sommital;0;0;WGS84;THS
20090211 172514.212;65;;;;;Effondrement;0;0;WGS84;THS
20090211 173131.371;12;;;;;Sommital;0;0;WGS84;THS
20090211 174624.70;223;;;;;Teleseisme;0;0;WGS84;THS
20090211 175248.457;6;;;;;Sommital;0;0;WGS84;THS
20090211 191556.199;5;;;;;Sommital;0;0;WGS84;THS
20090211 195006.371;11;;;;;Sommital;0;0;WGS84;THS
20090211 200715.57;10;;;;;Sommital;0;0;WGS84;THS
20090211 200739.942;5;;;;;Sommital;0;0;WGS84;THS
20090211 214842.628;7;;;;;Sommital;0;0;WGS84;THS
20090211 221137.171;3;;;;;Sommital;0;0;WGS84;THS
20090211 230825.371;3;;;;;Sommital;0;0;WGS84;THS
20090211 231734.171;8;;;;;Sommital;0;0;WGS84;THS
20090211 231947.0;18;;;;;Sommital;0;0;WGS84;THS
20090211 232250.399;6;;;;;Sommital;0;0;WGS84;THS
20090211 232731.914;72;;;;;Sommital;0;0;WGS84;THS
20090211 235117.75;47;;;;;Effondrement;0;0;WGS84;THS
20090211 235440.212;86;;;;;Effondrement;0;0;WGS84;THS
20090212 005356.791;35;;;;;Effondrement;0;0;WGS84;THS
20090212 011634.507;89;;;;;Effondrement;0;0;WGS84;THS
20090212 012846.114;4;;;;;Sommital;0;0;WGS84;THS
20090212 024204.371;4;;;;;Sommital;0;0;WGS84;THS
20090212 025936.428;19;;;;;Sommital;0;0;WGS84;THS
20090212 035625.342;8;;;;;Sommital;0;0;WGS84;THS
20090212 041419.917;143;;;;;Effondrement;0;0;WGS84;THS
20090212 053112.628;6;;;;;Sommital;0;0;WGS84;THS
20090212 061231.496;90;;;;;Effondrement;0;0;WGS84;THS
20090212 065938.828;6;;;;;Sommital;0;0;WGS84;THS
20090212 071857.359;62;;;;;Effondrement;0;0;WGS84;THS
20090212 093727.514;8;;;;;Sommital;0;0;WGS84;THS
20090212 102659.942;6;;;;;Sommital;0;0;WGS84;THS
